peptide_id	GO_id	GO_Def	Evalues
Eucgr.D00736.1.p	GO:0005515,GO:0043531,GO:0007165	GO:0005515[protein binding]; GO:0043531[ADP binding]; GO:0007165[signal transduction]	GO:0005515[5.1e-16]; GO:0043531[5e-26]; GO:0007165[5.1e-16]
Eucgr.D00737.1.p	GO:0043565,GO:0006355,GO:0003700	GO:0043565[sequence-specific DNA binding]; GO:0006355[regulation of transcription, DNA-templated]; GO:0003700[transcription factor activity, sequence-specific DNA binding]	GO:0043565[2.2e-09]; GO:0006355[2.2e-09]; GO:0003700[2.2e-09]
Eucgr.D00738.1.p	-	-	-
Eucgr.D01575.1.p	-	-	-
Eucgr.D01577.1.p	-	-	-
Eucgr.D01580.1.p	-	-	-
Eucgr.D01587.1.p	GO:0005515,GO:0043531	GO:0005515[protein binding]; GO:0043531[ADP binding]	GO:0005515[7.4e-24]; GO:0043531[2.2e-25]
Eucgr.D01596.1.p	GO:0043531,GO:0005524	GO:0043531[ADP binding]; GO:0005524[ATP binding]	GO:0043531[3.8e-28]; GO:0005524[1.5e-05]
Eucgr.D01599.1.p	GO:0005515,GO:0043531,GO:0007165	GO:0005515[protein binding]; GO:0043531[ADP binding]; GO:0007165[signal transduction]	GO:0005515[3.5e-35]; GO:0043531[2.2e-23]; GO:0007165[3.5e-35]
Eucgr.D01599.2.p	GO:0005515,GO:0043531,GO:0007165	GO:0005515[protein binding]; GO:0043531[ADP binding]; GO:0007165[signal transduction]	GO:0005515[3.5e-35]; GO:0043531[2.2e-23]; GO:0007165[3.5e-35]
Eucgr.D01601.1.p	GO:0005515,GO:0007165	GO:0005515[protein binding]; GO:0007165[signal transduction]	GO:0005515[8.3e-31]; GO:0007165[8.3e-31]
Eucgr.D01602.1.p	GO:0016746,GO:0008152	GO:0016746[transferase activity, transferring acyl groups]; GO:0008152[metabolic process]	GO:0016746[9.7e-80]; GO:0008152[9.7e-80]
Eucgr.D01602.2.p	GO:0016746,GO:0008152	GO:0016746[transferase activity, transferring acyl groups]; GO:0008152[metabolic process]	GO:0016746[9.7e-80]; GO:0008152[9.7e-80]
Eucgr.D01602.3.p	GO:0016746,GO:0008152	GO:0016746[transferase activity, transferring acyl groups]; GO:0008152[metabolic process]	GO:0016746[7.9e-80]; GO:0008152[7.9e-80]
Eucgr.D01602.4.p	GO:0016746,GO:0008152	GO:0016746[transferase activity, transferring acyl groups]; GO:0008152[metabolic process]	GO:0016746[6.6e-60]; GO:0008152[6.6e-60]
Eucgr.D01602.5.p	GO:0016746,GO:0008152	GO:0016746[transferase activity, transferring acyl groups]; GO:0008152[metabolic process]	GO:0016746[5.4e-80]; GO:0008152[5.4e-80]
Eucgr.D01602.6.p	GO:0016746,GO:0008152	GO:0016746[transferase activity, transferring acyl groups]; GO:0008152[metabolic process]	GO:0016746[4.4e-80]; GO:0008152[4.4e-80]
Eucgr.D01604.1.p	GO:0045735	GO:0045735[nutrient reservoir activity]	GO:0045735[2.1e-40]
Eucgr.D01606.1.p	GO:0045735	GO:0045735[nutrient reservoir activity]	GO:0045735[6.8e-48]
Eucgr.D01608.1.p	GO:0045735	GO:0045735[nutrient reservoir activity]	GO:0045735[5.1e-45]
Eucgr.D01612.1.p	GO:0003924	GO:0003924[GTPase activity]	GO:0003924[4.3e-70]
Eucgr.D01613.1.p	GO:0005506,GO:0006633,GO:0016491,GO:0055114	GO:0005506[iron ion binding]; GO:0006633[fatty acid biosynthetic process]; GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0005506[1.2e-15]; GO:0006633[1.2e-15]; GO:0016491[1.2e-15]; GO:0055114[1.2e-15]
Eucgr.D01613.2.p	GO:0005506,GO:0006633,GO:0016491,GO:0055114	GO:0005506[iron ion binding]; GO:0006633[fatty acid biosynthetic process]; GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0005506[1.2e-15]; GO:0006633[1.2e-15]; GO:0016491[1.2e-15]; GO:0055114[1.2e-15]
Eucgr.D01613.3.p	GO:0005506,GO:0006633,GO:0016491,GO:0055114	GO:0005506[iron ion binding]; GO:0006633[fatty acid biosynthetic process]; GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0005506[1.2e-15]; GO:0006633[1.2e-15]; GO:0016491[1.2e-15]; GO:0055114[1.2e-15]
Eucgr.D01613.4.p	GO:0005506,GO:0006633,GO:0016491,GO:0055114	GO:0005506[iron ion binding]; GO:0006633[fatty acid biosynthetic process]; GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0005506[1.2e-15]; GO:0006633[1.2e-15]; GO:0016491[1.2e-15]; GO:0055114[1.2e-15]
Eucgr.D01613.5.p	GO:0005506,GO:0006633,GO:0016491,GO:0055114	GO:0005506[iron ion binding]; GO:0006633[fatty acid biosynthetic process]; GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0005506[1.2e-15]; GO:0006633[1.2e-15]; GO:0016491[1.2e-15]; GO:0055114[1.2e-15]
Eucgr.D01614.1.p	GO:0016491,GO:0055114,GO:0050660	GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]; GO:0050660[flavin adenine dinucleotide binding]	GO:0016491[4.8e-24]; GO:0055114[4.8e-24]; GO:0050660[4.8e-24]
Eucgr.D01615.1.p	-	-	-
Eucgr.D01618.1.p	-	-	-
Eucgr.D01619.1.p	GO:0016491,GO:0055114,GO:0050660	GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]; GO:0050660[flavin adenine dinucleotide binding]	GO:0016491[1.9e-25]; GO:0055114[1.9e-25]; GO:0050660[1.9e-25]
